Timestamp,Campus Energy Centre Campus HW Main Meter Flow
2021-04-01T03:56:10-07:00 Los_Angeles,110L/s
2021-04-01T03:57:41-07:00 Los_Angeles,115L/s
2021-04-01T03:58:41-07:00 Los_Angeles,110L/s
2021-04-01T03:59:41-07:00 Los_Angeles,115L/s
2021-04-01T04:00:00-07:00 Los_Angeles,115L/s
2021-04-01T04:01:32-07:00 Los_Angeles,110L/s
2021-04-01T04:02:43-07:00 Los_Angeles,115L/s
2021-04-01T04:03:54-07:00 Los_Angeles,110L/s
2021-04-01T04:04:54-07:00 Los_Angeles,115L/s
2021-04-01T04:06:15-07:00 Los_Angeles,110L/s
2021-04-01T04:07:15-07:00 Los_Angeles,120L/s
2021-04-01T04:08:15-07:00 Los_Angeles,125L/s
2021-04-01T04:09:16-07:00 Los_Angeles,115L/s
2021-04-01T04:10:00-07:00 Los_Angeles,110L/s
2021-04-01T04:11:00-07:00 Los_Angeles,115L/s
2021-04-01T04:12:00-07:00 Los_Angeles,110L/s
2021-04-01T04:13:08-07:00 Los_Angeles,115L/s
2021-04-01T04:14:08-07:00 Los_Angeles,120L/s
2021-04-01T04:15:08-07:00 Los_Angeles,115L/s
2021-04-01T04:16:20-07:00 Los_Angeles,120L/s
2021-04-01T04:17:20-07:00 Los_Angeles,115L/s
2021-04-01T04:18:20-07:00 Los_Angeles,110L/s
2021-04-01T04:19:20-07:00 Los_Angeles,115L/s
2021-04-01T04:20:00-07:00 Los_Angeles,115L/s
2021-04-01T04:21:00-07:00 Los_Angeles,110L/s
2021-04-01T04:22:00-07:00 Los_Angeles,115L/s
2021-04-01T04:23:00-07:00 Los_Angeles,110L/s
2021-04-01T04:24:05-07:00 Los_Angeles,120L/s
2021-04-01T04:25:05-07:00 Los_Angeles,115L/s
2021-04-01T04:26:06-07:00 Los_Angeles,110L/s
2021-04-01T04:27:06-07:00 Los_Angeles,115L/s
2021-04-01T04:28:06-07:00 Los_Angeles,120L/s
2021-04-01T04:30:00-07:00 Los_Angeles,120L/s
2021-04-01T04:31:19-07:00 Los_Angeles,125L/s
2021-04-01T04:32:50-07:00 Los_Angeles,130L/s
2021-04-01T04:33:50-07:00 Los_Angeles,125L/s
2021-04-01T04:34:50-07:00 Los_Angeles,115L/s
2021-04-01T04:35:50-07:00 Los_Angeles,120L/s
2021-04-01T04:36:50-07:00 Los_Angeles,115.27777862548828L/s
2021-04-01T04:37:52-07:00 Los_Angeles,120L/s
2021-04-01T04:38:52-07:00 Los_Angeles,115L/s
2021-04-01T04:40:00-07:00 Los_Angeles,115L/s
2021-04-01T04:41:00-07:00 Los_Angeles,120L/s
2021-04-01T04:42:00-07:00 Los_Angeles,115L/s
2021-04-01T04:43:00-07:00 Los_Angeles,110L/s
2021-04-01T04:44:00-07:00 Los_Angeles,115L/s
2021-04-01T04:45:00-07:00 Los_Angeles,110L/s
2021-04-01T04:46:00-07:00 Los_Angeles,115L/s
2021-04-01T04:47:15-07:00 Los_Angeles,110L/s
2021-04-01T04:48:15-07:00 Los_Angeles,115L/s
2021-04-01T04:49:15-07:00 Los_Angeles,120L/s
2021-04-01T04:50:00-07:00 Los_Angeles,110L/s
2021-04-01T04:51:00-07:00 Los_Angeles,115L/s
2021-04-01T04:52:00-07:00 Los_Angeles,120L/s
2021-04-01T04:53:00-07:00 Los_Angeles,115L/s
2021-04-01T04:54:00-07:00 Los_Angeles,120L/s
2021-04-01T04:55:02-07:00 Los_Angeles,115L/s
2021-04-01T04:56:02-07:00 Los_Angeles,125L/s
2021-04-01T04:57:02-07:00 Los_Angeles,120L/s
2021-04-01T04:58:02-07:00 Los_Angeles,115L/s
2021-04-01T04:59:14-07:00 Los_Angeles,120L/s
2021-04-01T05:00:00-07:00 Los_Angeles,120L/s
2021-04-01T05:01:00-07:00 Los_Angeles,115L/s
2021-04-01T05:02:00-07:00 Los_Angeles,120L/s
2021-04-01T05:03:00-07:00 Los_Angeles,115L/s
2021-04-01T05:04:00-07:00 Los_Angeles,120L/s
2021-04-01T05:05:07-07:00 Los_Angeles,125L/s
2021-04-01T05:06:07-07:00 Los_Angeles,120L/s
2021-04-01T05:07:18-07:00 Los_Angeles,125L/s
2021-04-01T05:08:39-07:00 Los_Angeles,120L/s
2021-04-01T05:09:39-07:00 Los_Angeles,125L/s
2021-04-01T05:10:00-07:00 Los_Angeles,120L/s
2021-04-01T05:11:00-07:00 Los_Angeles,125L/s
2021-04-01T05:12:11-07:00 Los_Angeles,120L/s
2021-04-01T05:13:11-07:00 Los_Angeles,125L/s
2021-04-01T05:14:12-07:00 Los_Angeles,115L/s
2021-04-01T05:15:12-07:00 Los_Angeles,120.27777862548828L/s
2021-04-01T05:16:12-07:00 Los_Angeles,125L/s
2021-04-01T05:17:25-07:00 Los_Angeles,120.83333587646484L/s
2021-04-01T05:18:25-07:00 Los_Angeles,125L/s
2021-04-01T05:19:25-07:00 Los_Angeles,120L/s
2021-04-01T05:20:00-07:00 Los_Angeles,120L/s
2021-04-01T05:21:37-07:00 Los_Angeles,125L/s
2021-04-01T05:22:37-07:00 Los_Angeles,120L/s
2021-04-01T05:24:08-07:00 Los_Angeles,125L/s
2021-04-01T05:25:08-07:00 Los_Angeles,115L/s
2021-04-01T05:26:08-07:00 Los_Angeles,120L/s
2021-04-01T05:27:08-07:00 Los_Angeles,115L/s
2021-04-01T05:28:08-07:00 Los_Angeles,120L/s
2021-04-01T05:29:20-07:00 Los_Angeles,115L/s
2021-04-01T05:30:00-07:00 Los_Angeles,115L/s
2021-04-01T05:31:00-07:00 Los_Angeles,120L/s
2021-04-01T05:32:01-07:00 Los_Angeles,115L/s
2021-04-01T05:33:02-07:00 Los_Angeles,125L/s
2021-04-01T05:34:02-07:00 Los_Angeles,120L/s
2021-04-01T05:35:02-07:00 Los_Angeles,125L/s
2021-04-01T05:36:02-07:00 Los_Angeles,120L/s
2021-04-01T05:37:02-07:00 Los_Angeles,125L/s
2021-04-01T05:38:05-07:00 Los_Angeles,130L/s
2021-04-01T05:39:05-07:00 Los_Angeles,125L/s
2021-04-01T05:40:00-07:00 Los_Angeles,120L/s
2021-04-01T05:41:00-07:00 Los_Angeles,115L/s
2021-04-01T05:42:00-07:00 Los_Angeles,125L/s
2021-04-01T05:43:07-07:00 Los_Angeles,120L/s
2021-04-01T05:44:07-07:00 Los_Angeles,125L/s
2021-04-01T05:45:07-07:00 Los_Angeles,130L/s
2021-04-01T05:46:07-07:00 Los_Angeles,125L/s
2021-04-01T05:47:07-07:00 Los_Angeles,120L/s
2021-04-01T05:48:07-07:00 Los_Angeles,125L/s
2021-04-01T05:49:08-07:00 Los_Angeles,120L/s
2021-04-01T05:50:00-07:00 Los_Angeles,125L/s
2021-04-01T05:51:00-07:00 Los_Angeles,120L/s
2021-04-01T05:52:11-07:00 Los_Angeles,125L/s
2021-04-01T05:53:11-07:00 Los_Angeles,120L/s
2021-04-01T05:54:11-07:00 Los_Angeles,125L/s
2021-04-01T05:55:11-07:00 Los_Angeles,115L/s
2021-04-01T05:56:11-07:00 Los_Angeles,120L/s
2021-04-01T05:57:13-07:00 Los_Angeles,115L/s
2021-04-01T05:58:13-07:00 Los_Angeles,120.83333587646484L/s
2021-04-01T05:59:14-07:00 Los_Angeles,115L/s
2021-04-01T06:00:00-07:00 Los_Angeles,120L/s
2021-04-01T06:01:00-07:00 Los_Angeles,130L/s
2021-04-01T06:02:00-07:00 Los_Angeles,135L/s
2021-04-01T06:03:00-07:00 Los_Angeles,145L/s
2021-04-01T06:04:00-07:00 Los_Angeles,150L/s
2021-04-01T06:05:27-07:00 Los_Angeles,155L/s
2021-04-01T06:06:28-07:00 Los_Angeles,160L/s
2021-04-01T06:07:28-07:00 Los_Angeles,155L/s
2021-04-01T06:08:28-07:00 Los_Angeles,165L/s
2021-04-01T06:09:28-07:00 Los_Angeles,160L/s
2021-04-01T06:10:00-07:00 Los_Angeles,155L/s
2021-04-01T06:11:00-07:00 Los_Angeles,160L/s
2021-04-01T06:12:00-07:00 Los_Angeles,155L/s
2021-04-01T06:13:11-07:00 Los_Angeles,160L/s
2021-04-01T06:14:11-07:00 Los_Angeles,155L/s
2021-04-01T06:15:11-07:00 Los_Angeles,160L/s
2021-04-01T06:16:33-07:00 Los_Angeles,165L/s
2021-04-01T06:17:33-07:00 Los_Angeles,160L/s
2021-04-01T06:19:04-07:00 Los_Angeles,165L/s
2021-04-01T06:20:00-07:00 Los_Angeles,160L/s
2021-04-01T06:22:25-07:00 Los_Angeles,155L/s
2021-04-01T06:23:26-07:00 Los_Angeles,160L/s
2021-04-01T06:25:17-07:00 Los_Angeles,155L/s
2021-04-01T06:26:17-07:00 Los_Angeles,160L/s
2021-04-01T06:27:28-07:00 Los_Angeles,165L/s
2021-04-01T06:28:28-07:00 Los_Angeles,160L/s
2021-04-01T06:29:28-07:00 Los_Angeles,155L/s
2021-04-01T06:30:00-07:00 Los_Angeles,165L/s
2021-04-01T06:31:00-07:00 Los_Angeles,160L/s
2021-04-01T06:32:51-07:00 Los_Angeles,165L/s
2021-04-01T06:33:51-07:00 Los_Angeles,155L/s
2021-04-01T06:34:51-07:00 Los_Angeles,165L/s
2021-04-01T06:35:51-07:00 Los_Angeles,160L/s
2021-04-01T06:37:05-07:00 Los_Angeles,155L/s
2021-04-01T06:38:05-07:00 Los_Angeles,160L/s
2021-04-01T06:39:26-07:00 Los_Angeles,165L/s
2021-04-01T06:40:00-07:00 Los_Angeles,155L/s
2021-04-01T06:41:00-07:00 Los_Angeles,160L/s
2021-04-01T06:42:17-07:00 Los_Angeles,165L/s
2021-04-01T06:43:17-07:00 Los_Angeles,160L/s
2021-04-01T06:44:17-07:00 Los_Angeles,165L/s
2021-04-01T06:45:17-07:00 Los_Angeles,160L/s
2021-04-01T06:46:29-07:00 Los_Angeles,155L/s
2021-04-01T06:47:29-07:00 Los_Angeles,165L/s
2021-04-01T06:48:29-07:00 Los_Angeles,160L/s
2021-04-01T06:50:00-07:00 Los_Angeles,160L/s
2021-04-01T06:51:00-07:00 Los_Angeles,165L/s
2021-04-01T06:52:00-07:00 Los_Angeles,160L/s
2021-04-01T06:53:22-07:00 Los_Angeles,165L/s
2021-04-01T06:54:23-07:00 Los_Angeles,160L/s
2021-04-01T06:55:23-07:00 Los_Angeles,165L/s
2021-04-01T06:56:34-07:00 Los_Angeles,170L/s
2021-04-01T06:57:34-07:00 Los_Angeles,165L/s
2021-04-01T06:58:34-07:00 Los_Angeles,170L/s
2021-04-01T06:59:45-07:00 Los_Angeles,165L/s
2021-04-01T07:00:00-07:00 Los_Angeles,170L/s
2021-04-01T07:01:36-07:00 Los_Angeles,175L/s
2021-04-01T07:02:37-07:00 Los_Angeles,170L/s
2021-04-01T07:03:37-07:00 Los_Angeles,175L/s
2021-04-01T07:04:37-07:00 Los_Angeles,170L/s
2021-04-01T07:05:37-07:00 Los_Angeles,175L/s
2021-04-01T07:07:09-07:00 Los_Angeles,180L/s
2021-04-01T07:08:49-07:00 Los_Angeles,175L/s
2021-04-01T07:09:49-07:00 Los_Angeles,180L/s
2021-04-01T07:10:00-07:00 Los_Angeles,175L/s
2021-04-01T07:11:00-07:00 Los_Angeles,180L/s
2021-04-01T07:12:00-07:00 Los_Angeles,185L/s
2021-04-01T07:13:11-07:00 Los_Angeles,180L/s
2021-04-01T07:14:11-07:00 Los_Angeles,185L/s
2021-04-01T07:15:11-07:00 Los_Angeles,190L/s
2021-04-01T07:16:12-07:00 Los_Angeles,200L/s
2021-04-01T07:17:12-07:00 Los_Angeles,194.44444274902344L/s
2021-04-01T07:18:44-07:00 Los_Angeles,200L/s
2021-04-01T07:19:44-07:00 Los_Angeles,195L/s
2021-04-01T07:20:00-07:00 Los_Angeles,195L/s
2021-04-01T07:21:00-07:00 Los_Angeles,200L/s
2021-04-01T07:22:00-07:00 Los_Angeles,195L/s
2021-04-01T07:23:06-07:00 Los_Angeles,200L/s
2021-04-01T07:24:06-07:00 Los_Angeles,195L/s
2021-04-01T07:25:06-07:00 Los_Angeles,200L/s
2021-04-01T07:26:06-07:00 Los_Angeles,205L/s
2021-04-01T07:27:07-07:00 Los_Angeles,195L/s
2021-04-01T07:28:08-07:00 Los_Angeles,200L/s
2021-04-01T07:29:20-07:00 Los_Angeles,195L/s
2021-04-01T07:30:00-07:00 Los_Angeles,195L/s
2021-04-01T07:31:10-07:00 Los_Angeles,200L/s
2021-04-01T07:32:10-07:00 Los_Angeles,195L/s
2021-04-01T07:33:11-07:00 Los_Angeles,200L/s
2021-04-01T07:34:11-07:00 Los_Angeles,195L/s
